MI_PRINX,COMPKEY,Comp Type,Pipe Unit ID,From Pit ID,To Pit ID,Num Parallel Lines,Unit Type,Unit Type Description,Description,Catchment,Sub Catchment,Ownership,Custodian,Pipe Type,Diameter,Pipe Length,Pipe Height,Average Depth,Up Invert Elevation,Down Invert Elevation,Grade,Pipe Shape,Material,Shape__Length,Last Refresh Date
1,10686,31,WcwWint5001ML,WcwWint0034MH,WcwWint0036MH,1,ML,Main Line,Main Line from WcwWint0034MH to WcwWint0036MH,Wcw,WcwWint,COP,SPM,RC,300,29.33,0,0,0,0,-499.5, ,RC,34.57296998199,6/27/2025 7:01:38 PM
2,10687,31,WcwWint5002ML,WcwWint0033MH,WcwWint0012GP,1,ML,Main Line,Main Line from WcwWint0033MH to WcwWint0012GP,West,WcwWint,COP,SPM,RC,300,60.76,0,0,10,10,0, ,RC,71.855919242009,6/27/2025 7:01:38 PM
3,10688,31,WcwWint5003ML,WcwWint0035MH,WcwWint0033MH,1,ML,Main Line,Main Line from WcwWint0035MH to WcwWint0033MH,West,WcwWint,COP,SPM,RC,320,29.66,0,0,11,11,0, ,RC,34.9538315159092,6/27/2025 7:01:38 PM
4,10689,31,WcwWint5004ML,WcwWint0011GP,WcwWint0034MH,1,ML,Main Line,Main Line from WcwWint0011GP to WcwWint0034MH,Wcw,WcwWint,COP,SPM,RC,225,1.22,0,0,10,10,0, ,RC,1.44648805613126,6/27/2025 7:01:38 PM
5,10690,31,WcwWint5005ML,WcwWint0012GP,WcwWint0034MH,1,ML,Main Line,Main Line from WcwWint0012GP to WcwWint0034MH,Wcw,WcwWint,COP,SPM,RC,225,7.3,0,0,0,0,0, ,RC,8.59800463118936,6/27/2025 7:01:38 PM
6,10691,31,WcwWint5006ML,WcwWint0014GP,WcwWint0035MH,1,ML,Main Line,Main Line from WcwWint0014GP to WcwWint0035MH,West,WcwWint,COP,SPM,RC,225,3.72,0,0,12,11,0, ,RC,4.40215792956868,6/27/2025 7:01:38 PM
7,10692,31,WcwWint5007ML,WcwWint0015GP,WcwWint0035MH,1,ML,Main Line,Main Line from WcwWint0015GP to WcwWint0035MH,West,WcwWint,COP,SPM,RC,225,12.09,0,0,0,0,0, ,RC,14.2973738502273,6/27/2025 7:01:38 PM
8,10693,31,WcwWint5008ML,WcwWint0013GP,WcwWint0040ND,1,ML,Main Line,Main Line from WcwWint0013GP to WcwWint0040ND,West,WcwWint,COP,SPM,RC,225,1.84,0,0,11,0,0, ,RC,2.17718482063388,6/27/2025 7:01:38 PM
9,10694,31,WcwWint5009ML,XxxXxxx0005GP,WcwWint0039MH,1,ML,Main Line,Main Line from XxxXxxx0005GP to WcwWint0039MH,West,WcwWint,COP,SPM,RC,300,23.1,0,0,5.06,4.98,1, ,RC,27.2763216679422,6/27/2025 7:01:38 PM
10,10695,31,WcwWint5010ML,WcwWint0003GP,WcwWint0007GP,1,ML,Main Line,Main Line from WcwWint0003GP to WcwWint0007GP,West,WcwWint,COP,SPM,RC,300,18.08,0,0,5.22,5.15,0, ,RC,21.4056103199097,6/27/2025 7:01:38 PM
11,10696,31,WcwWint5011ML,WcwWint0039MH,WcwWint0031MH,1,ML,Main Line,Main Line from WcwWint0039MH to WcwWint0031MH,West,WcwWint,COP,SPM,RC,600,67.14,0,1.95,4.92,4.84,0, ,RC,79.4663852815062,6/27/2025 7:01:38 PM
12,10697,31,WcwWint5012ML,WcwWint0036MH,WcwWint0003GP,1,ML,Main Line,Main Line from WcwWint0036MH to WcwWint0003GP,West,WcwWint,COP,SPM,RC,300,47.27,0,0,0,5.27,0, ,RC,55.6886864661269,6/27/2025 7:01:38 PM
13,10698,31,WcwWint5013ML,WcwWint0038MH,WcwWint0037MH,1,ML,Main Line,Main Line from WcwWint0038MH to WcwWint0037MH,West,WcwWint,COP,SPM,RC,300,10.35,0,0,7.26,7.12,0, ,RC,12.1905707241202,6/27/2025 7:01:38 PM
14,10699,31,WcwWint5014ML,WcwWint0041ND,WcwWint0038MH,1,ML,Main Line,Main Line from WcwWint0041ND to WcwWint0038MH,West,WcwWint,COP,SPM,RC,300,1.86,0,0,0,7.26,0.99, ,RC,2.19582804642696,6/27/2025 7:01:38 PM
15,10700,31,WcwWint5015ML,XxxXxxx0113MH,WcwWint0039MH,1,ML,Main Line,Main Line from XxxXxxx0113MH to WcwWint0039MH,West,WcwWint,COP,SPM,RC,450,20.14,0,1.02,0,4.99,1, ,RC,23.750212474828,6/27/2025 7:01:38 PM
16,10701,31,WcwWint5016ML,WcwWint0007GP,WcwWint0039MH,1,ML,Main Line,Main Line from WcwWint0007GP to WcwWint0039MH,West,WcwWint,COP,SPM,RC,300,18.65,0,0,5.1,4.98,0, ,RC,21.9942128643669,6/27/2025 7:01:38 PM
17,10702,31,WcwWint5017ML,XxxXxxx0006GP,WcwWint0039MH,1,ML,Main Line,Main Line from XxxXxxx0006GP to WcwWint0039MH,West,WcwWint,COP,SPM,RC,300,44.59,0,0,6.04,4.98,1, ,RC,52.7763565597064,6/27/2025 7:01:38 PM
18,10703,31,WcwWint5018ML,XxxXxxx0087MH,WcwWint0018MH,1,ML,Main Line,Main Line from XxxXxxx0087MH to WcwWint0018MH,West,WcwWint,COP,SPM,RC,300,9.9,0,1.03,10.25,10.25,0, ,RC,11.6560591099407,6/27/2025 7:01:38 PM
19,10704,31,WcwWint5019ML,WcwWint0018MH,WcwWint0019MH,1,ML,Main Line,Main Line from WcwWint0018MH to WcwWint0019MH,West,WcwWint,COP,SPM,RC,300,8.91,0,1.03,10.25,10.15,0, ,RC,10.4992734551959,6/27/2025 7:01:38 PM
20,10705,31,WcwWint5020ML,WcwWint0001GP,WcwWint0042ND,1,ML,Main Line,Main Line from WcwWint0001GP to WcwWint0042ND,West,WcwWint,COP,SPM,RC,300,13.84,0,0,9.72,9.52,0, ,RC,16.3366654994755,6/27/2025 7:01:38 PM
21,10706,31,WcwWint5021ML,XxxXxxx0003GP,WcwWint0042ND,1,ML,Main Line,Main Line from XxxXxxx0003GP to WcwWint0042ND,Wcw,WcwWint,COP,SPM,RC,300,4.71,0,0,9.7,9.51,0, ,RC,5.54688005515129,6/27/2025 7:01:38 PM
22,10707,31,WcwWint5022ML,XxxXxxx0090MH,WcwWint0021MH,1,ML,Main Line,Main Line from XxxXxxx0090MH to WcwWint0021MH,West,WcwWint,COP,SPM,RC,300,12.06,0,1.05,10.47,10.39,0, ,RC,14.210686211654,6/27/2025 7:01:38 PM
23,10708,31,WcwWint5023ML,WcwWint0021MH,WcwWint0020MH,1,ML,Main Line,Main Line from WcwWint0021MH to WcwWint0020MH,West,WcwWint,COP,SPM,RC,300,9.52,0,0,10.39,10.35,0, ,RC,11.2090815693515,6/27/2025 7:01:38 PM
24,10710,31,WcwWint5025ML,WcwWint0023MH,WcwWint0022MH,1,ML,Main Line,Main Line from WcwWint0023MH to WcwWint0022MH,West,WcwWint,COP,SPM,RC,300,9.11,0,0,0,0,0, ,RC,10.7354332469965,6/27/2025 7:01:38 PM
25,10711,31,WcwWint5026ML,WcwWint0002GP,WcwWint0044ND,1,ML,Main Line,Main Line from WcwWint0002GP to WcwWint0044ND,West,WcwWint,COP,SPM,RC,300,10.53,0,0,7.78,7.55,0, ,RC,12.4008176523583,6/27/2025 7:01:38 PM
26,10712,31,WcwWint5027ML,WcwWint0045ND,WcwWint0046ND,1,ML,Main Line,Main Line from WcwWint0045ND to WcwWint0046ND,West,WcwWint,COP,SPM,RC,150,4.66,0,0,0,0,0, ,RC,5.51492639833417,6/27/2025 7:01:38 PM
27,10713,31,WcwWint5028ML,WcwWint0025MH,WcwWint0024MH,1,ML,Main Line,Main Line from WcwWint0025MH to WcwWint0024MH,West,WcwWint,COP,SPM,RC,300,9.81,0,0,11.98,0,0, ,RC,11.5511396077584,6/27/2025 7:01:38 PM
28,10714,31,WcwWint5029ML,WcwWint0024MH,WcwWint0048ND,1,ML,Main Line,Main Line from WcwWint0024MH to WcwWint0048ND,West,WcwWint,COP,SPM,RC,300,4.32,0,0,0,0,0, ,RC,5.08992246111745,6/27/2025 7:01:38 PM
29,10715,31,WcwWint5030ML,WcwWint0026MH,WcwWint0017MH,1,ML,Main Line,Main Line from WcwWint0026MH to WcwWint0017MH,West,WcwWint,COP,SPM,RC,300,19.28,0,1.18,5.5,5.38,0, ,RC,22.8176590267354,6/27/2025 7:01:38 PM
30,10716,31,WcwWint5031ML,WcwWint0031MH,WcwWint0032MH,1,ML,Main Line,Main Line from WcwWint0031MH to WcwWint0032MH,West,WcwWint,COP,SPM,RC,600,3.3,0,0,0,0,0, ,RC,3.90778429629733,6/27/2025 7:01:38 PM
31,10717,31,WcwWint5032ML,WcwWint0032MH,WcwWint0004GP,1,ML,Main Line,Main Line from WcwWint0032MH to WcwWint0004GP,West,WcwWint,COP,SPM,RC,600,8.43,0,0,4.82,4.77,0, ,RC,9.98087202940402,6/27/2025 7:01:38 PM
32,10718,31,WcwWint5033ML,WcwWint0004GP,WcwWint0016MH,1,ML,Main Line,Main Line from WcwWint0004GP to WcwWint0016MH,West,WcwWint,COP,SPM,RC,750,8.24,0,0,4.77,4.8,0, ,RC,9.75787925347828,6/27/2025 7:01:38 PM
33,10719,31,WcwWint5034ML,WcwWint0016MH,WcwWint0005GP,1,ML,Main Line,Main Line from WcwWint0016MH to WcwWint0005GP,West,WcwWint,COP,SPM,RC,750,6.6,0,0,4.32,4.3,0, ,RC,7.8081477538112,6/27/2025 7:01:38 PM
34,10720,31,WcwWint5035ML,WcwWint0005GP,WcwWint0016MH,1,ML,Main Line,Main Line from WcwWint0005GP to WcwWint0016MH,West,WcwWint,COP,SPM,RC,750,107.49,0,0,4.74,0,0, ,RC,127.238625147332,6/27/2025 7:01:38 PM
35,10721,31,WcwWint5036ML,XxxXxxx0026GP,WcwWint0008GP,1,ML,Main Line,Main Line from XxxXxxx0026GP to WcwWint0008GP,West,WcwWint,COP,SPM,RC,300,27.8,0,0,0,6.78,0, ,RC,32.7455883052004,6/27/2025 7:01:38 PM
36,10722,31,WcwWint5037ML,WcwWint0008GP,WcwWint0027MH,1,ML,Main Line,Main Line from WcwWint0008GP to WcwWint0027MH,West,WcwWint,COP,SPM,RC,300,1.09,0,0,0,6.74,0, ,RC,1.28041399437225,6/27/2025 7:01:38 PM
37,10723,31,WcwWint5038ML,WcwWint0027MH,WcwWint0028MH,1,ML,Main Line,Main Line from WcwWint0027MH to WcwWint0028MH,West,WcwWint,COP,SPM,RC,750,23.79,0,0,0,0,0, ,RC,28.1569709772119,6/27/2025 7:01:38 PM
38,10724,31,WcwWint5039ML,WcwWint0028MH,WcwWint0030MH,1,ML,Main Line,Main Line from WcwWint0028MH to WcwWint0030MH,West,WcwWint,COP,SPM,RC,750,45.98,0,0,0,4.42,0, ,RC,54.4262957578156,6/27/2025 7:01:38 PM
39,10725,31,WcwWint5040ML,WcwWint0009GP,WcwWint0030MH,1,ML,Main Line,Main Line from WcwWint0009GP to WcwWint0030MH,West,WcwWint,COP,SPM,RC,300,8.48,0,0,6.25,6.03,0, ,RC,10.0289600815157,6/27/2025 7:01:38 PM
40,10726,31,WcwWint5041ML,WcwWint0049ND,WcwWint0030MH,1,ML,Main Line,Main Line from WcwWint0049ND to WcwWint0030MH,West,WcwWint,COP,SPM,RC,300,8.01,0,0,0,6.05,0, ,RC,9.43871568457608,6/27/2025 7:01:38 PM
41,10727,31,WcmWill5001ML,WcmWill0394MH,WcmWill0258MH,1,ML,Main Line,Main Line from WcmWill0394MH to WcmWill0258MH,East,WcmWill,COP,SPM,RC,225,13.14,0,0,0,14.8,0, ,RC,15.4813444940755,6/27/2025 7:01:38 PM
42,10728,31,WcmWill5002ML,WcmWill0259MH,WcmWill0258MH,1,ML,Main Line,Main Line from WcmWill0259MH to WcmWill0258MH,East,WcmWill,COP,SPM,RC,450,3.57,0,0,14.82,14.8,178.5, ,RC,4.21041209304498,6/27/2025 7:01:38 PM
43,10729,31,WcmWill5003ML,WcmWill0415MH,WcmWill0258MH,1,ML,Main Line,Main Line from WcmWill0415MH to WcmWill0258MH,East,WcmWill,COP,SPM,RC,300,6.88,0,0,14.89,14.85,171.75, ,RC,8.10787528747542,6/27/2025 7:01:38 PM
44,10730,31,WcmWill5004ML,WcmWill0299MH,WcmWill0262MH,1,ML,Main Line,Main Line from WcmWill0299MH to WcmWill0262MH,East,WcmWill,COP,SPM,EW,225,28.61,0,0,14.89,14,33.42, ,EW,33.8245769900434,6/27/2025 7:01:38 PM
45,10731,31,WcmWill5005ML,WcmWill0262MH,WcmWill0329MH,1,ML,Main Line,Main Line from WcmWill0262MH to WcmWill0329MH,East,WcmWill,COP,SPM,RC,225,9.43,0,0,13.45,13.21,38.04, ,RC,11.1056724182826,6/27/2025 7:01:38 PM
46,10732,31,WcmWill5006ML,WcmWill0263MH,WcmWill0670ND,1,ML,Main Line,Main Line from WcmWill0263MH to WcmWill0670ND,East,WcmWill,COP,SPM,RC,225,4.75,0,0,14.94,0,0, ,RC,5.60338424934905,6/27/2025 7:01:38 PM
47,10733,31,WcmWill5007ML,WcmWill0258MH,WcmWill0329MH,1,ML,Main Line,Main Line from WcmWill0258MH to WcmWill0329MH,East,WcmWill,COP,SPM,RC,450,59.81,0,0,14.75,12.78,30.58, ,RC,70.7344140542859,6/27/2025 7:01:38 PM
48,10734,31,WcmWill5008ML,WcmWill0264MH,WcmWill0260MH,1,ML,Main Line,Main Line from WcmWill0264MH to WcmWill0260MH,East,WcmWill,COP,SPM,RC,375,40.58,0,0,15.18,14.92,154.23, ,RC,47.8266495085769,6/27/2025 7:01:38 PM
49,10735,31,WcmWill5009ML,WcmWill0261MH,WcmWill0260MH,1,ML,Main Line,Main Line from WcmWill0261MH to WcmWill0260MH,East,WcmWill,COP,SPM,RC,300,10.51,0,0,15.23,14.99,43.17, ,RC,12.4368006430446,6/27/2025 7:01:38 PM
50,10736,31,WcmWill5010ML,WcmWill0266MH,WcmWill0261MH,1,ML,Main Line,Main Line from WcmWill0266MH to WcmWill0261MH,EAST,WcmWill,COP,SPM,RC,300,24.81,0,0,15.37,15.23,176.93, ,RC,29.2395316799665,6/27/2025 7:01:38 PM
51,10737,31,WcmWill5011ML,WcmWill0329MH,WcmWill0331MH,1,ML,Main Line,Main Line from WcmWill0329MH to WcmWill0331MH,EAST,WcmWill,COP,SPM,RC,450,70.01,0,0,12.78,10.55,31.5, ,RC,82.8036209172123,6/27/2025 7:01:38 PM
52,10738,31,WcmWill5012ML,WcmWill0300MH,WcmWill0671ND,1,ML,Main Line,Main Line from WcmWill0300MH to WcmWill0671ND,East,WcmWill,COP,SPM,RC,225,4.63,0,0,13.18,0,0, ,RC,5.45835982980412,6/27/2025 7:01:38 PM
53,10739,31,WcmWill5013ML,WcmWill0470ND,WcmWill0264MH,1,ML,Main Line,Main Line from WcmWill0470ND to WcmWill0264MH,East,WcmWill,COP,SPM,RC,225,6.23,0,0,0,16.09,0, ,RC,7.37080775024534,6/27/2025 7:01:38 PM
54,10740,31,WcmWill5014ML,WcmWill0265MH,WcmWill0264MH,1,ML,Main Line,Main Line from WcmWill0265MH to WcmWill0264MH,East,WcmWill,COP,SPM,RC,300,30.16,0,0,15.37,15.24,232.08, ,RC,35.5480392241039,6/27/2025 7:01:38 PM
55,10741,31,WcmWill5015ML,WcmWill0268MH,WcmWill0265MH,1,ML,Main Line,Main Line from WcmWill0268MH to WcmWill0265MH,East,WcmWill,COP,SPM,RC,300,25.45,0,0,15.52,15.37,169.47, ,RC,29.9887211380522,6/27/2025 7:01:38 PM
56,10742,31,WcmWill5016ML,WcmWill0472ND,WcmWill0265MH,1,ML,Main Line,Main Line from WcmWill0472ND to WcmWill0265MH,East,WcmWill,COP,SPM,RC,225,5,0,0,0,16.31,0, ,RC,5.91196285440334,6/27/2025 7:01:38 PM
57,10744,31,WcmWill5018ML,WcmWill0301MH,WcmWill0273MH,1,ML,Main Line,Main Line from WcmWill0301MH to WcmWill0273MH,East,WcmWill,COP,SPM,EW,225,6.74,0,0,12.67,12.4,25, ,EW,7.96697215124674,6/27/2025 7:01:38 PM
58,10745,31,WcmWill5019ML,WcmWill0476ND,WcmWill0277MH,1,ML,Main Line,Main Line from WcmWill0476ND to WcmWill0277MH,East,WcmWill,COP,SPM,RC,225,6.42,0,0,0,11.52,0, ,RC,7.56583877929087,6/27/2025 7:01:38 PM
59,10746,31,WcmWill5020ML,WcmWill0346MH,WcmWill0333MH,1,ML,Main Line,Main Line from WcmWill0346MH to WcmWill0333MH,East,WcmWill,COP,SPM,RC,450,22.29,0,0,11.45,11.24,106, ,RC,26.2659431250477,6/27/2025 7:01:38 PM
60,10747,31,WcmWill5021ML,WcmWill0302MH,WcmWill0850GP,1,ML,Main Line,Main Line from WcmWill0302MH to WcmWill0850GP,East,WcmWill,COP,SPM,PVC,100,18.98,0,0,13.27,0,0, ,PVC,22.4475797705246,6/27/2025 7:01:38 PM
61,10748,31,WcmWill5022ML,WcmWill0004GP,WcmWill0302MH,1,ML,Main Line,Main Line from WcmWill0004GP to WcmWill0302MH,East,WcmWill,COP,SPM,PVC,100,8.37,0,0,0,13.27,0, ,PVC,9.89997003698721,6/27/2025 7:01:38 PM
62,10749,31,WcmWill5023ML,WcmWill0395MH,WcmWill0212MH,1,ML,Main Line,Main Line from WcmWill0395MH to WcmWill0212MH,East,WcmWill,COP,SPM,EW,225,7.77,0,0,0,14.16,0, ,EW,9.15578837736267,6/27/2025 7:01:38 PM
63,10750,31,WcmWill5024ML,WcmWill0267MH,WcmWill0271MH,1,ML,Main Line,Main Line from WcmWill0267MH to WcmWill0271MH,East,WcmWill,COP,SPM,RC,300,49.09,0,0,15.24,0,0, ,RC,57.849336424785,6/27/2025 7:01:38 PM
64,10751,31,WcmWill5025ML,WcmWill0271MH,WcmWill0270MH,1,ML,Main Line,Main Line from WcmWill0271MH to WcmWill0270MH,East,WcmWill,COP,SPM,RC,300,5.12,0,0,15.2,15.13,73.29, ,RC,6.04770420537732,6/27/2025 7:01:38 PM
65,10752,31,WcmWill5026ML,WcmWill0269MH,WcmWill0270MH,1,ML,Main Line,Main Line from WcmWill0269MH to WcmWill0270MH,East,WcmWill,COP,SPM,RC,300,5.24,0,0,15.45,15.44,523, ,RC,6.17509454652882,6/27/2025 7:01:38 PM
66,10753,31,WcmWill5027ML,WcmWill0268MH,WcmWill0016GP,1,ML,Main Line,Main Line from WcmWill0268MH to WcmWill0016GP,East,WcmWill,COP,SPM,RC,300,47.94,0,0,15.84,0,0, ,RC,56.5034255728586,6/27/2025 7:01:38 PM
67,10754,31,WcmWill5028ML,WcmWill0016GP,WcmWill0269MH,1,ML,Main Line,Main Line from WcmWill0016GP to WcmWill0269MH,East,WcmWill,COP,SPM,RC,300,1.56,0,0,15.45,15.44,156, ,RC,1.83679226819069,6/27/2025 7:01:38 PM
68,10755,31,WcmWill5029ML,WcmWill0020GP,WcmWill0345MH,1,ML,Main Line,Main Line from WcmWill0020GP to WcmWill0345MH,East,WcmWill,COP,SPM,EW,225,9.32,0,0,16.92,16.83,103.44, ,EW,10.9882158965819,6/27/2025 7:01:38 PM
69,10756,31,WcmWill5030ML,WcmWill0213MH,WcmWill0674ND,1,ML,Main Line,Main Line from WcmWill0213MH to WcmWill0674ND,East,WcmWill,COP,SPM,EW,150,20.42,0,0,16.74,0,0, ,EW,24.0800759185923,6/27/2025 7:01:38 PM
70,10757,31,WcmWill5031ML,WcmWill0212MH,WcmWill0354MH,1,ML,Main Line,Main Line from WcmWill0212MH to WcmWill0354MH,East,WcmWill,COP,SPM,EW,225,33.38,0,0,14.16,14.06,333.3, ,EW,39.325029160777,6/27/2025 7:01:38 PM
71,10758,31,WcmWill5032ML,WcmWill0018GP,WcmWill0345MH,1,ML,Main Line,Main Line from WcmWill0018GP to WcmWill0345MH,East,WcmWill,COP,SPM,EW,100,1.1,0,0,0,17.46,0, ,EW,1.29411088694323,6/27/2025 7:01:38 PM
72,10759,31,WcmWill5033ML,WcmWill0345MH,WcmWill0214MH,1,ML,Main Line,Main Line from WcmWill0345MH to WcmWill0214MH,East,WcmWill,COP,SPM,EW,150,18.35,0,0,16.8,16.48,57.47, ,EW,21.7041899303648,6/27/2025 7:01:38 PM
73,10760,31,WcmWill5034ML,WcmWill0354MH,WcmWill0214MH,1,ML,Main Line,Main Line from WcmWill0354MH to WcmWill0214MH,East,WcmWill,COP,SPM,EW,225,13.13,0,0,14.06,13.95,119.18, ,EW,15.4699949162035,6/27/2025 7:01:38 PM
74,10761,31,WcmWill5035ML,WcmWill0019GP,WcmWill0214MH,1,ML,Main Line,Main Line from WcmWill0019GP to WcmWill0214MH,East,WcmWill,COP,SPM,EW,150,1.11,0,0,0,0,0, ,EW,1.30957274204194,6/27/2025 7:01:38 PM
75,10762,31,WcmWill5036ML,WcmWill0497ND,WcmWill0214MH,1,ML,Main Line,Main Line from WcmWill0497ND to WcmWill0214MH,East,WcmWill,COP,SPM,EW,150,3.53,0,0,0,16.84,0, ,EW,4.17210312469351,6/27/2025 7:01:38 PM
76,10763,31,WcmWill5037ML,WcmWill0276MH,WcmWill0272MH,1,ML,Main Line,Main Line from WcmWill0276MH to WcmWill0272MHRelined 31/03/2019 - 55mm Spiral Wound Liner,EAST,WcmWill,COP,SPM,EW,225,32.43,0,0,12.05,9.9,15.12, ,EW,38.3509384382129,6/27/2025 7:01:38 PM
77,10764,31,WcmWill5038ML,WcmWill0499ND,WcmWill0676ND,1,ML,Main Line,Main Line from WcmWill0499ND to WcmWill0676ND,East,WcmWill,COP,SPM,RC,225,14.21,0,0,0,0,0, ,RC,16.7480309143769,6/27/2025 7:01:38 PM
78,10765,31,WcmWill5039ML,WcmWill0270MH,WcmWill0279MH,1,ML,Main Line,Main Line from WcmWill0270MH to WcmWill0279MH,East,WcmWill,COP,SPM,RC,525,39.3,0,0,11.31,11.11,196.25, ,RC,46.314524475561,6/27/2025 7:01:38 PM
79,10766,31,WcmWill5040ML,WcmWill0012GP,WcmWill0280MH,1,ML,Main Line,Main Line from WcmWill0012GP to WcmWill0280MH,East,WcmWill,COP,SPM,PVC,100,8.13,0,0,0,16.35,0, ,PVC,9.57470849456253,6/27/2025 7:01:38 PM
80,10767,31,WcmWill5041ML,WcmWill0214MH,WcmWill0308MH,1,ML,Main Line,Main Line from WcmWill0214MH to WcmWill0308MH,East,WcmWill,COP,SPM,EW,225,31.58,0,0,13.96,13.87,350.78, ,EW,37.2474917621259,6/27/2025 7:01:38 PM
81,10768,31,WcmWill5042ML,WcmWill0308MH,WcmWill0313MH,1,ML,Main Line,Main Line from WcmWill0308MH to WcmWill0313MH,East,WcmWill,COP,SPM,EW,375,4.05,0,0,13.49,13.48,405, ,EW,4.77777593392736,6/27/2025 7:01:38 PM
82,10774,31,WcmWill5048ML,WcmWill0503ND,WcmWill0339MH,1,ML,Main Line,Main Line from WcmWill0503ND to WcmWill0339MH,East,WcmWill,COP,SPM,RC,225,2.79,0,0,0,12.63,0, ,RC,3.30009329359312,6/27/2025 7:01:38 PM
83,10775,31,WcmWill5049ML,WcmWill0014GP,WcmWill0282MH,1,ML,Main Line,Main Line from WcmWill0014GP to WcmWill0282MH,East,WcmWill,COP,SPM,RC,375,24.65,0,0,0,14.48,0, ,RC,29.0542193879707,6/27/2025 7:01:38 PM
84,10776,31,WcmWill5050ML,WcmWill0281MH,WcmWill0284MH,1,ML,Main Line,Main Line from WcmWill0281MH to WcmWill0284MH,East,WcmWill,COP,SPM,RC,375,54.41,0,0,0,0,0, ,RC,64.1238468205189,6/27/2025 7:01:38 PM
85,10777,31,WcmWill5051ML,WcmWill0280MH,WcmWill0281MH,1,ML,Main Line,Main Line from WcmWill0280MH to WcmWill0281MH,East,WcmWill,COP,SPM,RC,300,2.86,0,0,14.99,14.91,35.87, ,RC,3.38679144993196,6/27/2025 7:01:38 PM
86,10778,31,WcmWill5052ML,WcmWill0279MH,WcmWill0280MH,1,ML,Main Line,Main Line from WcmWill0279MH to WcmWill0280MH,East,WcmWill,COP,SPM,RC,375,5.84,0,0,15.1,15.06,146.25, ,RC,6.90196047998737,6/27/2025 7:01:38 PM
87,10779,31,WcmWill5053ML,WcmWill0402MH,WcmWill0013GP,1,ML,Main Line,Main Line from WcmWill0402MH to WcmWill0013GP,East,WcmWill,COP,SPM,PVC,150,1.95,0,0,0,15.97,0, ,PVC,2.297618038959,6/27/2025 7:01:38 PM
88,10780,31,WcmWill5054ML,WcmWill0313MH,WcmWill0373MH,1,ML,Main Line,Main Line from WcmWill0313MH to WcmWill0373MH,East,WcmWill,COP,SPM,EW,225,16.49,0,0,13.83,13.81,823.5, ,EW,19.4274125029764,6/27/2025 7:01:38 PM
89,10781,31,WcmWill5055ML,WcmWill0313MH,WcmWill0372MH,1,ML,Main Line,Main Line from WcmWill0313MH to WcmWill0372MH,East,WcmWill,COP,SPM,EW,225,21.46,0,0,13.94,13.88,357.33, ,EW,25.2981620741326,6/27/2025 7:01:38 PM
90,10782,31,WcmWill5056ML,WcmWill0027GP,WcmWill0335MH,1,ML,Main Line,Main Line from WcmWill0027GP to WcmWill0335MH,East,WcmWill,COP,SPM,RC,225,3.02,0,0,0,7.18,0, ,RC,3.55368890921679,6/27/2025 7:01:38 PM
91,10783,31,WcmWill5057ML,WcmWill0026GP,WcmWill0275MH,1,ML,Main Line,Main Line from WcmWill0026GP to WcmWill0275MH,East,WcmWill,COP,SPM,EW,150,7.45,0,0,0,7.3,0, ,EW,8.80035488651418,6/27/2025 7:01:38 PM
92,10784,31,WcmWill5058ML,WcmWill0332MH,WcmWill0335MH,1,ML,Main Line,Main Line from WcmWill0332MH to WcmWill0335MH,East,WcmWill,COP,SPM,RC,525,88.7,0,0,10.17,5.94,21.02, ,RC,104.904158490871,6/27/2025 7:01:38 PM
93,10785,31,WcmWill5059ML,WcmWill0331MH,WcmWill0332MH,1,ML,Main Line,Main Line from WcmWill0331MH to WcmWill0332MH,East,WcmWill,COP,SPM,RC,525,8.72,0,0,10.58,10.12,18.98, ,RC,10.3077456186279,6/27/2025 7:01:38 PM
94,10786,31,WcmWill5060ML,WcmWill0304MH,WcmWill0303MH,1,ML,Main Line,Main Line from WcmWill0304MH to WcmWill0303MH,East,WcmWill,COP,SPM,EW,150,4.8,0,0,0,12.31,0, ,EW,5.68322570509901,6/27/2025 7:01:38 PM
95,10787,31,WcmWill5061ML,WcmWill0277MH,WcmWill0680ND,1,ML,Main Line,"Main Line from WcmWill0277MH to WcmWill0680ND
",East,WcmWill,COP,SPM,RC,300,41.27,0,0,11.37,10.59,84.33, ,RC,4.38092312435812,6/27/2025 7:01:38 PM
96,10787,31,WcmWill5061ML,WcmWill0277MH,WcmWill0680ND,1,ML,Main Line,"Main Line from WcmWill0277MH to WcmWill0680ND
",East,WcmWill,COP,SPM,RC,300,41.27,0,0,11.37,10.59,84.33, ,RC,51.8829861427796,6/27/2025 7:01:38 PM
97,10788,31,WcmWill5062ML,WcmWill0333MH,WcmWill0331MH,1,ML,Main Line,Main Line from WcmWill0333MH to WcmWill0331MH,East,WcmWill,COP,SPM,RC,450,17.31,0,0,10.71,10.6,157.45, ,RC,20.4335691089439,6/27/2025 7:01:38 PM
98,10789,31,WcmWill5063ML,WcmWill0850GP,WcmWill0331MH,1,ML,Main Line,Main Line from WcmWill0850GP to WcmWill0331MH,East,WcmWill,COP,SPM,EW,300,11.91,0,0,0,10.75,0, ,EW,14.0797063374173,6/27/2025 7:01:38 PM
99,10790,31,WcmWill5064ML,WcmWill0396MH,WcmWill0331MH,1,ML,Main Line,Main Line from WcmWill0396MH to WcmWill0331MH,East,WcmWill,COP,SPM,EW,300,16.11,0,0,0,10.68,0, ,EW,18.9764368383365,6/27/2025 7:01:38 PM
